id,requirement
5.5.4,The system should request confirmation when using automatic corrections
5.6.1,The interface should allow you to configure the location of the panels
5.6.2,The interface should allow you to maintain the configuration of the panels
5.6.3,The interface should allow you to download the panel configuration
5.6.4,The interface should allow you to discard the configuration of the panels
5.7.1,The system must save the interface settings
5.7.2,The system must save the editor settings
5.7.3,The system must maintain validation settings
5.7.4,The system must maintain visualization settings
6.1.1,The system should analyze the context of editing
6.1.2,The system should offer relevant tips
6.2.1,The system should offer auto -filling based on the scheme
6.2.2,The system should offer auto -filling based on context
6.2.4,The system must filter the sentences for entry
6.3.2,The system must generate code following the example
6.3.3,The system must generate the code according to the template
6.3.4,The system must check the generated code
6.4.1,The system should analyze the structure of the code
6.4.4,The system must generate analysis reports
7.1.1,The system must maintain the condition of the editor
7.1.2,The system must maintain the history of changes
7.1.3,The system must save the session settings
7.1.4,The system must save open files
7.2.1,The system should restore the editor's condition
7.2.2,The system must restore the history of changes
7.2.3,The system should restore the session settings
7.2.4,The system must restore open files
7.3.1,The system must export the settings to the file
7.3.3,The system should check the compatibility of the settings
7.3.4,The system must reserve settings
7.4.1,The system must maintain the history of file changes
7.4.4,The system should allow changes
8.1.1,The debug panel must display the current state
8.2.1,The system must analyze the structure of data
8.2.3,The system should generate statistics
8.2.4,The system must visualize the results of the analysis
8.3.1,The system should allow the creation of test data
9.1.2,The system must check the compatibility of the schemes
9.2.2,The system should check cyclic dependencies
9.2.3,The system must resolve dependencies
9.3.4,The system must combine changes in the schemes
10.1.1,The system must support REST API
10.4.1,The system should allow you to configure the interface
10.4.2,The system should allow you to configure functionality
10.4.4,The system should allow you to configure hot keys
